Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,117,0.14374,0.14846,0.15721,0.13244
Time,s,118,0.13579,0.16697,0.15281,0.14631
Time,s,119,0.15981,0.16855,0.15513,0.14692
Time,s,120,0.1393,0.1555,0.14724,0.14377
Time,s,121,0.15247,0.16087,0.15757,0.15161
Time,s,122,0.13852,0.13849,0.14378,0.13443
Time,s,123,0.15353,0.15165,0.15796,0.15659
Time,s,124,0.14543,0.15615,0.16143,0.14474
Time,s,125,0.15575,0.17644,0.16061,0.14222
Time,s,126,0.15485,0.15185,0.17136,0.14631
Time,s,127,0.15346,0.15534,0.16172,0.13834
Time,s,128,0.13086,0.14037,0.14651,0.14399
Time,s,129,0.14341,0.13571,0.14593,0.12711
Time,s,130,0.12668,0.13563,0.13949,0.1344
Time,s,131,0.13278,0.15387,0.15479,0.12825
Time,s,132,0.15842,0.17371,0.13961,0.12695
Time,s,133,0.1697,0.1953,0.16817,0.13323
Time,s,134,0.15921,0.16256,0.16424,0.13338
Time,s,135,0.16644,0.17284,0.14983,0.1268
Time,s,136,0.15884,0.16091,0.16048,0.12597
Time,s,137,0.13246,0.15627,0.14788,0.13422
Time,s,138,0.14617,0.18296,0.17391,0.12038
Time,s,139,0.13163,0.18201,0.1636,0.13082
Time,s,140,0.13847,0.18641,0.14352,0.12327
Time,s,141,0.13835,0.1666,0.14253,0.129
Time,s,142,0.12634,0.14786,0.13124,0.13655
Time,s,143,0.15175,0.17504,0.1499,0.12771
Time,s,144,0.12946,0.15281,0.12721,0.12761
Time,s,145,0.14869,0.1758,0.14657,0.1241
Time,s,146,0.14717,0.19738,0.14806,0.12371
Time,s,147,0.17886,0.16166,0.14436,0.1313
Time,s,148,0.15174,0.1535,0.13371,0.12423
Time,s,149,0.16131,0.16303,0.14315,0.12566
Time,s,150,0.13189,0.16114,0.13553,0.13179
Time,s,151,0.12142,0.19016,0.1373,0.12648
Time,s,152,0.14062,0.17545,0.13474,0.13187
Time,s,153,0.1275,0.1662,0.14361,0.1232
Time,s,154,0.14124,0.18827,0.17015,0.12861
Time,s,155,0.15017,0.18064,0.17533,0.13889
Time,s,156,0.14572,0.161,0.17999,0.12593
Time,s,157,0.15043,0.15195,0.17472,0.13107
Time,s,158,0.15711,0.1526,0.14375,0.13324
Time,s,159,0.137,0.15081,0.13431,0.12642
Time,s,160,0.13804,0.14799,0.13487,0.12542
Time,s,161,0.14702,0.14414,0.14362,0.12818
Time,s,162,0.16269,0.15159,0.13742,0.1292
Time,s,163,0.17067,0.1493,0.14627,0.13255
Time,s,164,0.16721,0.16637,0.142,0.1232
Time,s,165,0.14687,0.18525,0.156,0.13174
Time,s,166,0.15523,0.17793,0.1436,0.12893
Time,s,167,0.13511,0.16788,0.13366,0.13102
Time,s,168,0.15123,0.17979,0.14782,0.13717
Time,s,169,0.12862,0.15074,0.12935,0.12455
Time,s,170,0.12931,0.16576,0.13377,0.12699
Time,s,171,0.14652,0.18102,0.14876,0.12993
Time,s,172,0.14797,0.21204,0.15501,0.12615
Time,s,173,0.15163,0.20552,0.14258,0.13097
Time,s,174,0.12646,0.17175,0.1294,0.13047
Time,s,175,0.13855,0.16998,0.13335,0.13205
Time,s,176,0.16364,0.18804,0.1417,0.13076
Time,s,177,0.16686,0.17584,0.13612,0.1255
Time,s,178,0.17032,0.18563,0.15122,0.13068
Time,s,179,0.15522,0.17055,0.1468,0.13303
Time,s,180,0.14985,0.19453,0.15093,0.13693
Time,s,181,0.13662,0.17527,0.13742,0.12805
Time,s,182,0.12477,0.14956,0.14772,0.12854
Time,s,183,0.13869,0.16159,0.15806,0.13363
Time,s,184,0.13683,0.1611,0.17291,0.123
Time,s,185,0.13771,0.17335,0.17324,0.12732
Time,s,186,0.13266,0.16649,0.14662,0.1302
Time,s,187,0.13764,0.18265,0.14756,0.132
Time,s,188,0.14084,0.1514,0.13297,0.12637
Time,s,189,0.13349,0.17272,0.13448,0.1306
Time,s,190,0.14512,0.15637,0.13281,0.14053
Time,s,191,0.16657,0.17192,0.13601,0.13369
Time,s,192,0.16002,0.18306,0.14257,0.13749
