Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,117,0.21323,0.2352,0.21212,0.20794
Time,s,118,0.20503,0.21926,0.21834,0.20634
Time,s,119,0.22893,0.23028,0.2213,0.37162
Time,s,120,0.21813,0.21845,0.21112,0.21091
Time,s,121,0.24788,0.23208,0.22743,0.2105
Time,s,122,0.22729,0.22168,0.22268,0.20955
Time,s,123,0.25818,0.24111,0.24918,0.20647
Time,s,124,0.21622,0.22754,0.2114,0.21225
Time,s,125,0.32891,0.25661,0.25138,0.20964
Time,s,126,0.34988,0.23393,0.22192,0.20717
Time,s,127,0.36843,0.2324,0.21813,0.20697
Time,s,128,0.2729,0.2233,0.20717,0.2075
Time,s,129,0.21667,0.21902,0.20848,0.20493
Time,s,130,0.21084,0.21906,0.22013,0.20671
Time,s,131,0.21765,0.22658,0.22197,0.20873
Time,s,132,0.22126,0.23449,0.24707,0.2136
Time,s,133,0.23245,0.23476,0.24339,0.20644
Time,s,134,0.2316,0.2511,0.23776,0.20962
Time,s,135,0.22109,0.23394,0.28803,0.21216
Time,s,136,0.22968,0.23126,0.25569,0.21153
Time,s,137,0.21559,0.21839,0.22561,0.20639
Time,s,138,0.25707,0.23831,0.23725,0.20551
Time,s,139,0.25136,0.22701,0.26254,0.21185
Time,s,140,0.3205,0.23363,0.26164,0.20806
Time,s,141,0.21973,0.23872,0.24186,0.2143
Time,s,142,0.20491,0.21392,0.23054,0.20522
Time,s,143,0.22925,0.24344,0.24134,0.2109
Time,s,144,0.21163,0.23037,0.23619,0.20926
Time,s,145,0.23392,0.23377,0.25674,0.20893
Time,s,146,0.22444,0.23799,0.23817,0.21451
Time,s,147,0.23508,0.23704,0.24822,0.21186
Time,s,148,0.22029,0.22125,0.23502,0.20754
Time,s,149,0.21048,0.21902,0.23997,0.20737
Time,s,150,0.21339,0.23212,0.21091,0.20905
Time,s,151,0.20527,0.21857,0.20745,0.21548
Time,s,152,0.21735,0.22749,0.2209,0.20699
Time,s,153,0.21467,0.22099,0.2096,0.20777
Time,s,154,0.22355,0.23508,0.21904,0.2058
Time,s,155,0.22371,0.23862,0.22067,0.21266
Time,s,156,0.22359,0.22642,0.221,0.21399
Time,s,157,0.24568,0.24066,0.22414,0.21067
Time,s,158,0.24481,0.22823,0.21939,0.2092
Time,s,159,0.23176,0.22463,0.21546,0.2061
Time,s,160,0.21479,0.23167,0.22045,0.20722
Time,s,161,0.21172,0.21665,0.21198,0.21218
Time,s,162,0.22028,0.22862,0.2296,0.21293
Time,s,163,0.22281,0.23579,0.22434,0.21497
Time,s,164,0.21985,0.23646,0.21863,0.20811
Time,s,165,0.21912,0.24041,0.22083,0.20687
Time,s,166,0.22484,0.23893,0.22302,0.20541
Time,s,167,0.21283,0.22644,0.22689,0.20483
Time,s,168,0.22323,0.23421,0.22462,0.20578
Time,s,169,0.21396,0.21884,0.20987,0.21078
Time,s,170,0.24198,0.22356,0.21185,0.21019
Time,s,171,0.22147,0.23131,0.22965,0.20815
Time,s,172,0.23095,0.2375,0.23157,0.20819
Time,s,173,0.22229,0.23532,0.22307,0.20721
Time,s,174,0.20765,0.22092,0.2118,0.20963
Time,s,175,0.21674,0.22262,0.21237,0.20593
Time,s,176,0.22233,0.22808,0.21565,0.20551
Time,s,177,0.22189,0.22735,0.22753,0.21061
Time,s,178,0.21884,0.23263,0.22017,0.2094
Time,s,179,0.22241,0.24052,0.21777,0.20517
Time,s,180,0.22705,0.23907,0.2254,0.20209
Time,s,181,0.215,0.22633,0.21547,0.20653
Time,s,182,0.21284,0.21674,0.2202,0.21404
Time,s,183,0.21455,0.22867,0.2151,0.20669
Time,s,184,0.21639,0.2364,0.21641,0.20423
Time,s,185,0.2142,0.22492,0.21305,0.20666
Time,s,186,0.20869,0.22796,0.20649,0.2172
Time,s,187,0.22432,0.22742,0.22087,0.21003
Time,s,188,0.20738,0.21892,0.20981,0.20571
Time,s,189,0.2123,0.233,0.21839,0.20616
Time,s,190,0.21757,0.21608,0.20778,0.20615
Time,s,191,0.21797,0.22541,0.21512,0.20777
Time,s,192,0.22983,0.23495,0.22127,0.21131
Time,s,193,0.21409,0.2316,0.21616,0.20812
Time,s,194,0.21901,0.2401,0.22024,0.20934
Time,s,195,0.21124,0.22424,0.21659,0.20611
Time,s,196,0.21457,0.23117,0.21578,0.20333
Time,s,197,0.22261,0.22607,0.21557,0.21183
Time,s,198,0.21558,0.22776,0.21532,0.20403
Time,s,199,0.22186,0.24055,0.22074,0.20524
Time,s,200,0.21682,0.23056,0.21754,0.20659
Time,s,201,0.21153,0.22336,0.21392,0.21239
Time,s,202,0.21236,0.22045,0.21289,0.20965
Time,s,203,0.20894,0.22336,0.20895,0.20789
Time,s,204,0.22928,0.23886,0.23635,0.20507
Time,s,205,0.20547,0.21678,0.20602,0.20831
Time,s,206,0.21714,0.22298,0.21269,0.20424
Time,s,207,0.22181,0.23291,0.22337,0.20557
Time,s,208,0.21318,0.2411,0.21411,0.21201
Time,s,209,0.21801,0.23743,0.22289,0.2081
Time,s,210,0.22063,0.23735,0.22143,0.20942
