Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,65,3,3,3,3
Partitions scanned,,66,4,4,4,4
Partitions scanned,,67,4,4,4,4
Partitions scanned,,68,4,4,4,4
Partitions scanned,,69,4,4,4,4
Partitions scanned,,70,4,4,4,4
Partitions scanned,,71,3,3,3,3
Partitions scanned,,72,4,4,4,4
Partitions scanned,,73,4,4,4,4
Partitions scanned,,74,4,4,4,4
Partitions scanned,,75,3,3,3,3
Partitions scanned,,76,4,4,4,4
Partitions scanned,,77,4,4,4,4
Partitions scanned,,78,4,4,4,4
Partitions scanned,,79,4,4,4,4
Partitions scanned,,80,4,4,4,4
Partitions scanned,,81,3,3,3,3
Partitions scanned,,82,4,4,4,4
Partitions scanned,,83,4,4,4,4
Partitions scanned,,84,4,4,4,4
Partitions scanned,,85,4,4,4,4
Partitions scanned,,86,4,4,4,4
Partitions scanned,,87,4,4,4,4
Partitions scanned,,88,4,4,4,4
Partitions scanned,,89,4,4,4,4
Partitions scanned,,90,4,4,4,4
Partitions scanned,,91,4,4,4,4
Partitions scanned,,92,3,3,3,3
Partitions scanned,,93,3,3,3,3
Partitions scanned,,94,4,4,4,4
Partitions scanned,,95,4,4,4,4
Partitions scanned,,96,4,4,4,4
Partitions scanned,,97,4,4,4,4
Partitions scanned,,98,4,4,4,4
Partitions scanned,,99,3,3,3,3
Partitions scanned,,100,4,4,4,4
Partitions scanned,,101,4,4,4,4
Partitions scanned,,102,3,3,3,3
Partitions scanned,,103,4,4,4,4
Partitions scanned,,104,3,3,3,3
Partitions scanned,,105,4,4,4,4
Partitions scanned,,106,4,4,4,4
Partitions scanned,,107,4,4,4,4
Partitions scanned,,108,4,4,4,4
Partitions scanned,,109,3,3,3,3
Partitions scanned,,110,4,4,4,4
Partitions scanned,,111,3,3,3,3
Partitions scanned,,112,4,4,4,4
Partitions scanned,,113,4,4,4,4
Partitions scanned,,114,3,3,3,3
Partitions scanned,,115,4,4,4,4
Partitions scanned,,116,3,3,3,3
Partitions scanned,,117,3,3,3,3
Partitions scanned,,118,4,4,4,4
Partitions scanned,,119,4,4,4,4
Partitions scanned,,120,4,4,4,4
Partitions scanned,,121,4,4,4,4
Partitions scanned,,122,4,4,4,4
Partitions scanned,,123,4,4,4,4
Partitions scanned,,124,4,4,4,4
Partitions scanned,,125,4,4,4,4
Partitions scanned,,126,4,4,4,4
Partitions scanned,,127,4,4,4,4
Partitions scanned,,128,3,3,3,3
Partitions scanned,,129,3,3,3,3
Partitions scanned,,130,4,4,4,4
Partitions scanned,,131,4,4,4,4
Partitions scanned,,132,4,4,4,4
Partitions scanned,,133,4,4,4,4
Partitions scanned,,134,3,3,3,3
Partitions scanned,,135,4,4,4,4
Partitions scanned,,136,4,4,4,4
Partitions scanned,,137,4,4,4,4
Partitions scanned,,138,4,4,4,4
Partitions scanned,,139,4,4,4,4
Partitions scanned,,140,4,4,4,4
Partitions scanned,,141,4,4,4,4
Partitions scanned,,142,4,4,4,4
Partitions scanned,,143,4,4,4,4
Partitions scanned,,144,3,3,3,3
Partitions scanned,,145,3,3,3,3
Partitions scanned,,146,4,4,4,4
Partitions scanned,,147,4,4,4,4
Partitions scanned,,148,4,4,4,4
Partitions scanned,,149,4,4,4,4
Partitions scanned,,150,3,3,3,3
Partitions scanned,,151,3,3,3,3
Partitions scanned,,152,4,4,4,4
Partitions scanned,,153,3,3,3,3
Partitions scanned,,154,3,3,3,3
Partitions scanned,,155,4,4,4,4
Partitions scanned,,156,4,4,4,4
Partitions scanned,,157,4,4,4,4
Partitions scanned,,158,4,4,4,4
Partitions scanned,,159,3,3,3,3
Partitions scanned,,160,4,4,4,4
Partitions scanned,,161,3,3,3,3
Partitions scanned,,162,3,3,3,3
Partitions scanned,,163,4,4,4,4
Partitions scanned,,164,4,4,4,4
Partitions scanned,,165,4,4,4,4
Partitions scanned,,166,4,4,4,4
Partitions scanned,,167,3,3,3,3
Partitions scanned,,168,4,4,4,4
Partitions scanned,,169,4,4,4,4
Partitions scanned,,170,3,3,3,3
Partitions scanned,,171,4,4,4,4
Partitions scanned,,172,4,4,4,4
Partitions scanned,,173,4,4,4,4
Partitions scanned,,174,3,3,3,3
Partitions scanned,,175,3,3,3,3
Partitions scanned,,176,4,4,4,4
Partitions scanned,,177,4,4,4,4
Partitions scanned,,178,4,4,4,4
Partitions scanned,,179,4,4,4,4
Partitions scanned,,180,4,4,4,4
Partitions scanned,,181,4,4,4,4
Partitions scanned,,182,4,4,4,4
Partitions scanned,,183,4,4,4,4
Partitions scanned,,184,4,4,4,4
Partitions scanned,,185,4,4,4,4
Partitions scanned,,186,3,3,3,3
Partitions scanned,,187,3,3,3,3
Partitions scanned,,188,4,4,4,4
Partitions scanned,,189,4,4,4,4
Partitions scanned,,190,4,4,4,4
Partitions scanned,,191,3,3,3,3
Partitions scanned,,192,3,3,3,3
Partitions scanned,,193,3,3,3,3
Partitions scanned,,194,4,4,4,4
Partitions scanned,,195,3,3,3,3
Partitions scanned,,196,4,4,4,4
Partitions scanned,,197,4,4,4,4
Partitions scanned,,198,4,4,4,4
Partitions scanned,,199,4,4,4,4
Partitions scanned,,200,4,4,4,4
Partitions scanned,,201,4,4,4,4
Partitions scanned,,202,4,4,4,4
Partitions scanned,,203,4,4,4,4
Partitions scanned,,204,4,4,4,4
Partitions scanned,,205,3,3,3,3
Partitions scanned,,206,4,4,4,4
Partitions scanned,,207,4,4,4,4
Partitions scanned,,208,3,3,3,3
Partitions scanned,,209,4,4,4,4
Partitions scanned,,210,4,4,4,4
Partitions scanned,,211,4,4,4,4
Partitions scanned,,212,4,4,4,4
Partitions scanned,,213,3,3,3,3
Partitions scanned,,214,4,4,4,4
Partitions scanned,,215,4,4,4,4
Partitions scanned,,216,4,4,4,4
Partitions scanned,,217,4,4,4,4
Partitions scanned,,218,4,4,4,4
Partitions scanned,,219,4,4,4,4
Partitions scanned,,220,4,4,4,4
Partitions scanned,,221,4,4,4,4
Partitions scanned,,222,3,3,3,3
Partitions scanned,,223,4,4,4,4
Partitions scanned,,224,4,4,4,4
Partitions scanned,,225,3,3,3,3
Partitions scanned,,226,4,4,4,4
Partitions scanned,,227,4,4,4,4
Partitions scanned,,228,4,4,4,4
Partitions scanned,,229,3,3,3,3
Partitions scanned,,230,4,4,4,4
Partitions scanned,,231,4,4,4,4
Partitions scanned,,232,3,3,3,3
Partitions scanned,,233,4,4,4,4
Partitions scanned,,234,4,4,4,4
Partitions scanned,,235,4,4,4,4
Partitions scanned,,236,4,4,4,4
Partitions scanned,,237,4,4,4,4
Partitions scanned,,238,4,4,4,4
Partitions scanned,,239,4,4,4,4
Partitions scanned,,240,4,4,4,4
Partitions scanned,,241,4,4,4,4
Partitions scanned,,242,4,4,4,4
Partitions scanned,,243,4,4,4,4
Partitions scanned,,244,4,4,4,4
Partitions scanned,,245,4,4,4,4
Partitions scanned,,246,4,4,4,4
Partitions scanned,,247,4,4,4,4
Partitions scanned,,248,4,4,4,4
Partitions scanned,,249,4,4,4,4
Partitions scanned,,250,4,4,4,4
Partitions scanned,,251,4,4,4,4
Partitions scanned,,252,4,4,4,4
Partitions scanned,,253,4,4,4,4
Partitions scanned,,254,4,4,4,4
Partitions scanned,,255,4,4,4,4
Partitions scanned,,256,4,4,4,4
Partitions scanned,,257,4,4,4,4
Partitions scanned,,258,4,4,4,4
Partitions scanned,,259,4,4,4,4
Partitions scanned,,260,3,3,3,3
Partitions scanned,,261,4,4,4,4
Partitions scanned,,262,4,4,4,4
Partitions scanned,,263,4,4,4,4
Partitions scanned,,264,3,3,3,3
Partitions scanned,,265,3,3,3,3
Partitions scanned,,266,4,4,4,4
Partitions scanned,,267,4,4,4,4
Partitions scanned,,268,4,4,4,4
Partitions scanned,,269,4,4,4,4
Partitions scanned,,270,4,4,4,4
Partitions scanned,,271,4,4,4,4
Partitions scanned,,272,4,4,4,4
Partitions scanned,,273,3,3,3,3
Partitions scanned,,274,4,4,4,4
Partitions scanned,,275,4,4,4,4
Partitions scanned,,276,4,4,4,4
Partitions scanned,,277,4,4,4,4
Partitions scanned,,278,4,4,4,4
Partitions scanned,,279,4,4,4,4
Partitions scanned,,280,4,4,4,4
Partitions scanned,,281,4,4,4,4
Partitions scanned,,282,4,4,4,4
Partitions scanned,,283,4,4,4,4
Partitions scanned,,284,3,3,3,3
Partitions scanned,,285,4,4,4,4
Partitions scanned,,286,4,4,4,4
Partitions scanned,,287,3,3,3,3
Partitions scanned,,288,4,4,4,4
Partitions scanned,,289,4,4,4,4
Partitions scanned,,290,3,3,3,3
Partitions scanned,,291,4,4,4,4
