Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,117,0.07423,0.03741,0.08174,0.10837
Time,s,118,0.06854,0.03605,0.05918,0.10915
Time,s,119,0.07671,0.03748,0.04763,0.10668
Time,s,120,0.08035,0.03929,0.04358,0.10755
Time,s,121,0.07963,0.03786,0.05997,0.07647
Time,s,122,0.0704,0.03619,0.06665,0.05529
Time,s,123,0.07312,0.03663,0.05287,0.04742
Time,s,124,0.0769,0.03612,0.04412,0.04421
Time,s,125,0.06464,0.03653,0.04132,0.04695
Time,s,126,0.05524,0.03679,0.04243,0.0447
Time,s,127,0.04126,0.03621,0.04087,0.0434
Time,s,128,0.0386,0.03655,0.04025,0.04331
Time,s,129,0.03769,0.03857,0.03994,0.04569
Time,s,130,0.03746,0.03674,0.04054,0.04923
Time,s,131,0.03623,0.03589,0.04839,0.05778
Time,s,132,0.03709,0.03643,0.05018,0.05113
Time,s,133,0.03694,0.04673,0.05046,0.0463
Time,s,134,0.03619,0.06656,0.0571,0.04549
Time,s,135,0.03656,0.0566,0.05341,0.04399
Time,s,136,0.04049,0.04657,0.04667,0.04293
Time,s,137,0.03851,0.04029,0.04552,0.04589
Time,s,138,0.03661,0.03705,0.04286,0.04271
Time,s,139,0.03573,0.03705,0.04062,0.04172
Time,s,140,0.03859,0.03621,0.04088,0.04195
Time,s,141,0.05284,0.04696,0.0406,0.04268
Time,s,142,0.04452,0.04863,0.04054,0.04834
Time,s,143,0.0392,0.06186,0.04062,0.06366
Time,s,144,0.03773,0.07193,0.05443,0.04772
Time,s,145,0.03632,0.07068,0.0611,0.04339
Time,s,146,0.0575,0.06711,0.0507,0.04187
Time,s,147,0.04795,0.06521,0.04544,0.04176
Time,s,148,0.03953,0.06729,0.05119,0.04026
Time,s,149,0.03676,0.06906,0.08487,0.0426
Time,s,150,0.03589,0.06611,0.08757,0.04301
Time,s,151,0.03588,0.06223,0.08722,0.04122
Time,s,152,0.03618,0.06405,0.0918,0.06769
Time,s,153,0.03569,0.05601,0.09003,0.07119
Time,s,154,0.03572,0.05709,0.09007,0.05663
Time,s,155,0.03589,0.06014,0.08733,0.08005
Time,s,156,0.03702,0.05008,0.06461,0.10127
Time,s,157,0.03856,0.0468,0.05057,0.10333
Time,s,158,0.03729,0.04421,0.04314,0.10214
Time,s,159,0.03601,0.05087,0.04392,0.10262
Time,s,160,0.03603,0.0681,0.06018,0.09689
Time,s,161,0.03857,0.07145,0.06036,0.06165
Time,s,162,0.06857,0.0694,0.04952,0.04855
Time,s,163,0.07172,0.07178,0.04497,0.04312
Time,s,164,0.06822,0.07146,0.04236,0.04241
Time,s,165,0.08593,0.05951,0.04119,0.04336
Time,s,166,0.07615,0.04812,0.04313,0.04346
Time,s,167,0.07345,0.04052,0.04234,0.04319
Time,s,168,0.07768,0.03904,0.04195,0.04445
Time,s,169,0.0736,0.03743,0.04207,0.04199
Time,s,170,0.06501,0.04001,0.04305,0.04019
Time,s,171,0.0494,0.0698,0.04393,0.04081
Time,s,172,0.04053,0.05546,0.04121,0.04343
Time,s,173,0.03674,0.04681,0.0544,0.04165
Time,s,174,0.03632,0.03968,0.05513,0.04098
Time,s,175,0.0362,0.03689,0.04888,0.04211
Time,s,176,0.03643,0.03692,0.04453,0.043
Time,s,177,0.03723,0.038,0.04362,0.04152
Time,s,178,0.03828,0.03737,0.04363,0.04466
Time,s,179,0.03653,0.03613,0.04158,0.04389
Time,s,180,0.0431,0.037,0.04158,0.04181
Time,s,181,0.05617,0.04184,0.04073,0.0406
Time,s,182,0.07639,0.04993,0.04039,0.04192
Time,s,183,0.06969,0.05125,0.04086,0.0455
Time,s,184,0.06252,0.06985,0.05224,0.06472
Time,s,185,0.06507,0.07091,0.05726,0.05129
Time,s,186,0.0587,0.07157,0.04848,0.04348
Time,s,187,0.05553,0.07048,0.0449,0.04181
Time,s,188,0.05695,0.07102,0.04968,0.04138
Time,s,189,0.08241,0.06546,0.08375,0.04124
Time,s,190,0.08122,0.05678,0.08986,0.04283
Time,s,191,0.08572,0.05389,0.08957,0.05605
Time,s,192,0.08976,0.04894,0.10148,0.04629
Time,s,193,0.08453,0.04246,0.09533,0.04188
Time,s,194,0.0784,0.03871,0.09478,0.04114
Time,s,195,0.07074,0.03679,0.09075,0.04457
Time,s,196,0.05234,0.03902,0.07431,0.06056
Time,s,197,0.04272,0.03833,0.07717,0.09851
Time,s,198,0.03763,0.04432,0.07622,0.10405
Time,s,199,0.03928,0.0411,0.07589,0.10566
Time,s,200,0.03783,0.03904,0.05906,0.09662
Time,s,201,0.03603,0.03664,0.05392,0.08759
Time,s,202,0.03698,0.03598,0.07301,0.08961
Time,s,203,0.05959,0.04307,0.08133,0.07375
Time,s,204,0.04858,0.04857,0.07113,0.06593
Time,s,205,0.04093,0.04281,0.06452,0.06197
Time,s,206,0.04461,0.03897,0.06341,0.06212
Time,s,207,0.04183,0.03768,0.07072,0.06768
Time,s,208,0.03921,0.03778,0.08194,0.07405
Time,s,209,0.03806,0.03709,0.0987,0.07582
Time,s,210,0.03753,0.03819,0.10198,0.05803
Time,s,211,0.03939,0.03695,0.10127,0.04596
Time,s,212,0.05581,0.03622,0.11104,0.04207
Time,s,213,0.0426,0.03635,0.08583,0.04025
Time,s,214,0.03861,0.0359,0.06053,0.04168
Time,s,215,0.03628,0.03629,0.05404,0.04243
Time,s,216,0.03639,0.03628,0.04747,0.04267
Time,s,217,0.03599,0.03614,0.04375,0.04328
