Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Ingestion,s,customer,26.67176,39.61631,28.36226,31.87299,39.02981,29.28404,35.68048
Ingestion,s,lineitem,781.7419,1473.881,907.6292,1177.0004,1532.5776,901.96533,1202.8824
Ingestion,s,nation,0.01747,0.02295,0.022,0.03718,0.04197,0.0316,0.02581
Ingestion,s,orders,225.9029,382.0196,254.28658,278.9325,378.81628,257.42947,275.38553
Ingestion,s,part,41.51447,65.25259,46.84981,41.1899,65.08397,47.37246,41.13697
Ingestion,s,partsupp,73.43203,122.15804,81.65052,96.77327,119.90344,81.8628,95.24648
Ingestion,s,region,0.00718,0.00829,0.00544,0.01419,0.00658,0.00761,0.00465
Ingestion,s,supplier,3.32339,4.31809,3.53843,7.98853,4.37395,3.6966,7.86192
