Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Size,B,tbl,50781120,355467840,441405120,68359200,2992179840,3957021120,68359200
Max Size,B,tbl,208,1856,1808,280,16256,16208,280
