Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,114572,63785,122071,81835,18548,122071
Partitions scanned,,2,122071,118456,34223,122071,87510,9664,122071
Partitions scanned,,3,122071,115514,58672,122071,79298,9671,122071
Partitions scanned,,4,122071,109478,63460,122071,60831,9449,122071
Partitions scanned,,5,122071,117547,58554,122071,93436,18403,122071
Partitions scanned,,6,122071,113886,76415,122071,81908,26380,122071
Partitions scanned,,7,122071,112955,72606,122071,74332,18473,122071
Partitions scanned,,8,122071,120186,72407,122071,100090,18467,122071
Partitions scanned,,9,122071,115436,63522,122071,78742,9668,122071
Partitions scanned,,10,122071,112383,72266,122071,71063,26780,122071
Partitions scanned,,11,122071,115705,47523,122071,85961,26608,122071
Partitions scanned,,12,122071,113799,63475,122071,69992,26360,122071
Partitions scanned,,13,122071,111803,47603,122071,62325,9793,122071
Partitions scanned,,14,122071,112608,68492,122071,72673,9571,122071
Partitions scanned,,15,122071,110908,40923,122071,65135,9583,122071
Partitions scanned,,16,122071,118636,58593,122071,96445,9836,122071
Partitions scanned,,17,122071,115065,68333,122071,89404,18381,122071
Partitions scanned,,18,122071,116564,72544,122071,81017,18521,122071
Partitions scanned,,19,122071,112760,52957,122071,62509,18316,122071
Partitions scanned,,20,122071,111295,58524,122071,71724,9603,122071
Partitions scanned,,21,122071,113187,68385,122071,74847,18626,122071
Partitions scanned,,22,122071,116105,80026,122071,78504,26712,122071
Partitions scanned,,23,122071,118710,47727,122071,90548,18734,122071
Partitions scanned,,24,122071,118191,58511,122071,76151,9523,122071
Partitions scanned,,25,122071,114798,63947,122071,75730,9428,122071
Partitions scanned,,26,122071,107047,68238,122071,57540,18366,122071
Partitions scanned,,27,122071,102231,47261,122071,49360,9595,122071
Partitions scanned,,28,122071,114548,68603,122071,78471,9625,122071
Partitions scanned,,29,122071,115019,68149,122071,85067,18555,122071
Partitions scanned,,30,122071,113591,47372,122071,74830,18411,122071
Partitions scanned,,31,122071,116662,47324,122071,82997,9562,122071
